StationID
US1NDLM0003
USC00210110
USW00054933
US1Stan4115
USC00130241
US1KSDK0053
USW00053916
US1MOBN0007
USC00030064
USC00031191
US1TNSH0032
US1INNB0011
US1ILMCL002
US1OHHD0026
USC00200417
