DATE,PRCP_IL,SNOW_IL,SNWD_IL,TMAX_IL,TMIN_IL,TOBS_IL,WESF_IL,PRCP_SD,SNOW_SD,SNWD_SD,TMAX_SD,TMIN_SD,TOBS_SD,WESF_SD,PRCP_MI,SNOW_MI,SNWD_MI,TMAX_MI,TMIN_MI,TOBS_MI,WESF_MI,PRCP_MO,SNOW_MO,SNWD_MO,TMAX_MO,TMIN_MO,TOBS_MO,WESF_MO,PRCP_AR,SNOW_AR,SNWD_AR,TMAX_AR,TMIN_AR,TOBS_AR,WESF_AR,PRCP_MN,SNOW_MN,SNWD_MN,TMAX_MN,TMIN_MN,TOBS_MN,WESF_MN,PRCP_KS,SNOW_KS,SNWD_KS,TMAX_KS,TMIN_KS,TOBS_KS,WESF_KS,PRCP_IA,SNOW_IA,SNWD_IA,TMAX_IA,TMIN_IA,TOBS_IA,WESF_IA,PRCP_ND,SNOW_ND,SNWD_ND,TMAX_ND,TMIN_ND,TOBS_ND,WESF_ND,PRCP_IN,SNOW_IN,SNWD_IN,TMAX_IN,TMIN_IN,TOBS_IN,WESF_IN,PRCP_OH,SNOW_OH,SNWD_OH,TMAX_OH,TMIN_OH,TOBS_OH,WESF_OH,PRCP_TN,SNOW_TN,SNWD_TN,TMAX_TN,TMIN_TN,TOBS_TN,WESF_TN
2020-02-01,18,13,51,,,,,0.0,0.0,330.0,50.0,-105.0,,,0,0,25,6,-39,-11,,0,0.0,,,,,,25,0,0,78,33,44,,,,,44.0,-100.0,,,0,0,,,,,,3,0,102,17,-11,6,,0.0,0.0,,,,,,0,0.0,0.0,50.0,11,17,,10.0,10.0,0.0,17.0,-32.0,,,13.0,0.0,0.0,89.0,56.0,78.0,
2020-02-02,0,0,51,,,,,0.0,0.0,300.0,78.0,0.0,,,61,56,102,6,-17,-6,,0,0.0,,,,,,0,0,0,128,28,44,,,,,50.0,-33.0,,,0,0,,,,,,0,0,76,67,6,39,,0.0,0.0,,,,,,0,0.0,0.0,167.0,11,83,,0.0,0.0,0.0,122.0,6.0,,,0.0,0.0,0.0,133.0,33.0,122.0,
2020-02-03,0,0,51,,,,,0.0,0.0,250.0,0.0,-105.0,,,0,0,51,33,-28,-28,,0,0.0,,,,,,0,0,0,183,44,122,,,,,-33.0,-172.0,,,0,0,,,,,,0,0,25,150,-17,-17,,0.0,0.0,,,,,,0,0.0,0.0,167.0,11,150,,0.0,0.0,0.0,167.0,11.0,,,0.0,0.0,0.0,222.0,94.0,94.0,
2020-02-04,0,0,25,,,,,0.0,0.0,250.0,-60.0,-160.0,,,0,0,51,44,-33,-6,,0,0.0,,,,,,46,0,0,178,106,144,,,,,-83.0,-250.0,,,0,0,,,,,,0,0,25,33,-33,-33,,0.0,0.0,,,,,,155,0.0,0.0,,6,6,,61.0,0.0,0.0,156.0,0.0,,,0.0,0.0,0.0,228.0,94.0,156.0,
2020-02-05,0,0,0,,,,,0.0,0.0,250.0,-10.0,-143.0,,,0,0,51,6,-72,-67,,18,0.0,,,,,,229,0,0,150,22,28,,,,,11.0,-167.0,,,0,0,,,,,,0,0,25,-17,-67,-67,,0.0,0.0,,,,,,74,0.0,0.0,39.0,-28,-22,,66.0,0.0,0.0,17.0,-21.0,,,432.0,0.0,0.0,178.0,72.0,72.0,
2020-02-06,25,38,25,,,,,3.0,8.0,230.0,-16.0,-121.0,,,3,5,51,-22,-72,-44,,79,86.0,89.0,,,,,0,0,0,28,0,6,,,,,-44.0,-156.0,,,0,0,,,,,,0,0,25,-33,-117,-100,,0.0,0.0,,,,,,0,0.0,0.0,-22.0,-39,-39,,64.0,0.0,0.0,11.0,-16.0,,,178.0,0.0,0.0,106.0,17.0,17.0,
2020-02-07,3,3,25,,,,,0.0,0.0,230.0,-121.0,-177.0,,,51,64,152,-28,-50,-33,,0,0.0,,,,,,51,3,0,11,-28,-17,,,,,-117.0,-250.0,,,0,0,,,,,,0,0,0,-6,-100,-39,,0.0,0.0,,,,,,0,25.0,0.0,11.0,-50,-17,,46.0,53.0,30.0,-10.0,-43.0,,,25.0,0.0,0.0,33.0,-11.0,-11.0,
2020-02-08,0,0,25,,,,,0.0,0.0,230.0,-16.0,-166.0,,,8,20,127,-33,-106,-106,,5,3.0,,,,,,0,0,0,67,-17,-6,,,,,-50.0,-278.0,,,0,0,,,,,,8,8,0,-22,-83,-83,,0.0,0.0,,,,,,0,0.0,0.0,11.0,-22,-6,,0.0,0.0,30.0,0.0,-71.0,,,0.0,0.0,0.0,89.0,-28.0,17.0,
2020-02-09,0,0,25,,,,,0.0,0.0,230.0,6.0,-138.0,,,0,0,127,-44,-117,-44,,8,,,,,,,0,0,0,106,-6,106,,,,,-56.0,-156.0,,,0,0,,,,,,0,0,0,11,-89,11,,0.0,0.0,,,,,,267,0.0,0.0,89.0,-39,89,,25.0,25.0,0.0,33.0,-43.0,,,0.0,0.0,0.0,122.0,6.0,67.0,
2020-02-10,33,13,25,,,,,0.0,0.0,230.0,6.0,-143.0,,,64,99,152,6,-44,-22,,64,,,,,,,99,0,0,172,106,133,,,,,-17.0,-94.0,,,0,0,,,,,,0,0,0,61,-89,-89,,0.0,0.0,,,,,,107,0.0,0.0,161.0,6,6,,38.0,0.0,0.0,61.0,11.0,,,246.0,0.0,0.0,194.0,67.0,106.0,
